step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
232,2.24724,0.63158,,
233,2.24577,0.63158,,
234,2.55346,0.6,,
235,2.31677,0.63158,,
236,2.20314,0.65789,,
237,2.60294,0.6,,
238,2.56475,0.625,,
239,2.2151,0.63158,,
240,2.18914,0.63158,,
241,2.16057,0.60526,,
242,2.6812,0.525,,
243,2.1801,0.63158,,
244,2.9277,0.52381,,
245,2.97595,0.5,,
246,1.83645,0.66667,,
247,2.93696,0.57143,,
248,3.08583,0.54762,,
249,2.55492,0.6,,
250,2.92721,0.57143,,
251,2.2703,0.63158,,
252,3.01321,0.57143,,
253,2.86914,0.57143,,
254,2.25093,0.63158,,
255,2.59629,0.6,,
256,2.5564,0.6,,
257,2.84322,0.57143,,
258,2.64093,0.6,,
259,2.94301,0.57143,,
260,2.57053,0.6,,
261,2.22869,0.63158,,
262,2.59381,0.6,,
263,2.88666,0.57143,,
264,2.25779,0.63158,,
265,2.58292,0.6,,
266,1.53618,0.70588,,
267,2.578,0.6,,
268,2.252,0.63158,,
269,2.22546,0.63158,,
270,2.14726,0.63158,,
271,2.93234,0.57143,,
272,2.53333,0.6,,
273,1.84936,0.66667,,
274,2.57877,0.6,,
275,2.98419,0.54762,,
276,2.39002,0.63158,,
277,2.9132,0.57143,,
278,2.58985,0.625,,
279,2.26381,0.63158,,
280,2.17055,0.65789,,
281,2.62033,0.575,,
282,1.83986,0.63889,,
283,2.97603,0.54762,,
284,2.15038,0.63158,,
285,2.68979,0.55,,
286,2.93804,0.57143,,
287,2.96103,0.54762,,
288,2.58751,0.6,,
289,2.9374,0.57143,,
290,1.88853,0.66667,,
291,2.2305,0.63158,,
292,2.60702,0.6,,
293,2.64098,0.6,,
294,2.57313,0.6,,
295,2.89223,0.57143,,
296,2.53652,0.6,,
297,2.58996,0.6,,
298,2.17143,0.63158,,
299,2.63247,0.6,,
300,2.21575,0.63158,,
301,2.23518,0.63158,3.03725,0.28571
302,2.61693,0.6,,
303,2.71148,0.6,,
304,2.19328,0.63158,,
305,2.86061,0.57143,,
306,2.57468,0.6,,
307,1.8647,0.66667,,
308,3.01589,0.57143,,
309,2.53466,0.6,,
310,2.58071,0.6,,
311,2.64941,0.6,,
312,1.82367,0.66667,,
313,2.20728,0.63158,,
314,2.64901,0.6,,
315,1.78283,0.66667,,
316,2.29326,0.63158,,
317,2.57314,0.6,,
318,2.95918,0.57143,,
319,2.22681,0.60526,,
320,2.50178,0.625,,
321,1.34709,0.73529,,
322,2.53344,0.625,,
323,2.90397,0.54762,,
324,2.96143,0.57143,,
325,2.88353,0.57143,,
326,2.5676,0.625,,
327,2.16878,0.63158,,
328,2.59219,0.6,,
329,2.59595,0.6,,
330,2.66241,0.6,,
331,2.2844,0.63158,,
332,2.25989,0.63158,,
333,2.54096,0.6,,
334,2.87245,0.54762,,
335,2.96817,0.57143,,
336,2.65482,0.6,,
337,1.8631,0.69444,,
338,2.54444,0.6,,
339,2.58353,0.6,,
340,2.58325,0.6,,
341,2.20542,0.63158,,
342,2.1941,0.63158,,
343,2.60031,0.6,,
344,2.5679,0.6,,
345,2.86372,0.57143,,
346,2.30515,0.63158,,
347,2.61199,0.6,,
348,2.23308,0.60526,,
349,2.25449,0.63158,,
350,1.78623,0.66667,,
351,2.56898,0.625,,
352,2.64403,0.625,,
353,2.92341,0.57143,,
354,2.57859,0.575,,
355,2.7409,0.55,,
356,2.54561,0.625,,
357,2.91025,0.57143,,
358,3.00638,0.54762,,
359,2.53971,0.6,,
360,2.2647,0.63158,,
361,2.90432,0.57143,,
362,2.62007,0.6,,
363,2.25874,0.63158,,
364,1.96223,0.66667,,
365,2.24659,0.63158,,
366,2.62626,0.6,,
367,2.25134,0.63158,,
368,2.85532,0.57143,,
369,2.58599,0.6,,
370,2.13611,0.65789,,
371,2.22361,0.63158,,
372,2.63246,0.6,,
373,2.59744,0.6,,
374,2.22101,0.63158,,
375,2.14034,0.63158,,
376,1.80287,0.66667,,
377,2.58534,0.575,,
378,2.59715,0.575,,
379,2.71665,0.6,,
380,2.97531,0.57143,,
381,2.87704,0.57143,,
382,2.55008,0.575,,
383,2.86265,0.57143,,
384,2.28319,0.63158,,
385,2.60167,0.575,,
386,1.8146,0.66667,,
387,2.94066,0.57143,,
388,2.25252,0.63158,,
389,2.58853,0.6,,
390,2.89744,0.57143,,
391,1.3544,0.70588,,
392,2.60415,0.6,,
393,2.25982,0.63158,,
394,2.62191,0.6,,
395,2.64105,0.6,,
396,2.9472,0.57143,,
397,2.58878,0.6,,
398,2.29161,0.63158,,
399,2.23063,0.63158,,
400,1.82105,0.66667,,
401,2.53174,0.6,2.59327,0.3
402,2.22596,0.63158,,
403,2.57679,0.6,,
404,2.53587,0.6,,
405,2.93787,0.57143,,
406,2.59597,0.6,,
407,2.94718,0.57143,,
408,2.94907,0.57143,,
409,2.89599,0.57143,,
410,2.22342,0.63158,,
411,2.21339,0.63158,,
412,2.16674,0.65789,,
413,2.56919,0.6,,
414,2.18442,0.63158,,
415,2.579,0.625,,
416,2.55895,0.6,,
417,2.54474,0.6,,
418,2.18537,0.63158,,
419,2.62394,0.6,,
420,2.55908,0.6,,
421,2.22062,0.63158,,
422,2.17543,0.63158,,
423,2.99999,0.57143,,
424,2.9687,0.57143,,
425,2.88995,0.57143,,
426,2.20486,0.63158,,
427,2.5855,0.6,,
428,1.81873,0.66667,,
429,2.95366,0.54762,,
430,2.67747,0.6,,
431,2.33595,0.63158,,
432,2.29498,0.60526,,
433,2.80044,0.57143,,
434,2.61545,0.6,,
435,2.50482,0.6,,
436,2.8953,0.57143,,
437,2.1837,0.63158,,
438,2.87928,0.57143,,
439,1.79347,0.69444,,
440,2.5636,0.6,,
441,2.8821,0.57143,,
442,2.19255,0.60526,,
443,2.56926,0.6,,
444,2.24147,0.63158,,
445,2.95734,0.57143,,
446,2.53433,0.6,,
447,2.54365,0.6,,
448,2.60899,0.6,,
449,2.82627,0.57143,,
450,2.54083,0.6,,
451,2.22485,0.63158,,
452,2.60336,0.6,,
453,2.17436,0.63158,,
454,2.89203,0.57143,,
455,2.6281,0.6,,
456,2.149,0.63158,,
457,2.40709,0.63158,,
458,1.81046,0.66667,,
459,2.64841,0.6,,
460,2.89534,0.57143,,
461,2.22334,0.63158,,
462,2.63217,0.6,,
463,3.14771,0.57143,,
464,2.91674,0.57143,,
465,2.20629,0.63158,,
466,2.92273,0.57143,,
467,2.95939,0.57143,,
468,2.56743,0.6,,
469,2.57105,0.6,,
470,2.91939,0.57143,,
471,2.54881,0.6,,
472,2.91612,0.57143,,
473,2.20248,0.63158,,
474,2.60339,0.6,,
475,2.57235,0.6,,
476,2.56579,0.6,,
477,2.26595,0.63158,,
478,2.59186,0.6,,
479,2.85722,0.57143,,
480,2.86444,0.57143,,
481,2.93168,0.57143,,
482,2.21007,0.63158,,
483,1.78015,0.66667,,
484,2.17439,0.63158,,
485,2.9453,0.57143,,
486,2.94943,0.57143,,
487,3.03051,0.57143,,
488,2.17921,0.63158,,
489,2.65718,0.6,,
490,2.3498,0.63158,,
491,3.02041,0.58974,,
492,2.67187,0.625,,
493,2.53709,0.6,,
494,2.27077,0.63158,,
495,2.55365,0.6,,
496,2.56,0.6,,
497,2.17464,0.63158,,
498,2.20882,0.63158,,
499,1.77628,0.66667,,
500,1.84274,0.66667,,
501,2.55411,0.625,2.20217,0.31579
502,2.56171,0.6,,
503,2.27164,0.65789,,
504,2.22667,0.63158,,
505,2.97841,0.54762,,
506,2.90048,0.5,,
507,2.57566,0.6,,
508,2.59081,0.6,,
509,2.58662,0.6,,
510,2.22496,0.63158,,
511,2.92776,0.54762,,
512,2.55616,0.6,,
513,2.29187,0.63158,,
514,2.91481,0.54762,,
515,2.56704,0.6,,
516,2.21936,0.63158,,
517,2.27597,0.63158,,
518,2.9205,0.54762,,
519,2.63749,0.575,,
520,2.92009,0.57143,,
521,2.21042,0.63158,,
522,2.16467,0.63158,,
523,2.93149,0.57143,,
524,2.55268,0.6,,
525,2.17396,0.63158,,
526,2.59178,0.6,,
527,2.25004,0.63158,,
528,2.9527,0.57143,,
529,2.23593,0.63158,,
530,2.53643,0.6,,
531,2.38519,0.63158,,
532,2.18911,0.63158,,
533,2.21042,0.63158,,
534,2.22806,0.63158,,
535,2.55526,0.6,,
536,2.55786,0.6,,
537,2.52305,0.6,,
538,2.21203,0.63158,,
539,2.49838,0.6,,
540,2.57641,0.6,,
541,2.51533,0.6,,
542,2.21055,0.60526,,
543,2.8988,0.54762,,
544,2.22324,0.65789,,
545,2.62413,0.6,,
546,2.92286,0.57143,,
547,2.56713,0.6,,
548,2.5853,0.575,,
549,2.84912,0.57143,,
550,2.51359,0.6,,
551,2.93482,0.57143,,
552,2.60821,0.6,,
553,2.50623,0.6,,
554,2.20447,0.63158,,
555,2.51793,0.625,,
556,2.20487,0.63158,,
557,2.24039,0.63158,,
558,2.89169,0.59524,,
